CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	3	0	100.00	3
2	6	0	100.00	6
3	2	0	100.00	2
4	10	0	100.00	10
5	5	0	100.00	5
6	3	0	100.00	3
7	2	0	100.00	2
8	0	0		0
9	1	0	100.00	1
10	4	0	100.00	4
11	6	0	100.00	6
12	4	0	100.00	4
13	1	0	100.00	1
14	1	0	100.00	1
15	3	0	100.00	3
16	2	0	100.00	2
17	0	0		0
18	3	0	100.00	3
19	4	0	100.00	4
20	10	0	100.00	10
21	6	0	100.00	6
22	4	0	100.00	4
23	2	0	100.00	2
24	3	0	100.00	3
25	1	0	100.00	1
26	4	0	100.00	4
27	5	0	100.00	5
28	3	0	100.00	3
29	1	0	100.00	1
30	3	0	100.00	3
31	4	0	100.00	4
32	1	0	100.00	1
33	1	0	100.00	1
34	3	0	100.00	3
35	6	0	100.00	6
36	2	0	100.00	2
37	7	0	100.00	7

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	12	0	100.00	12
2	4	0	100.00	4
3	5	0	100.00	5
4	6	0	100.00	6
5	6	0	100.00	6
6	2	0	100.00	2
7	1	0	100.00	1
8	2	0	100.00	2
9	0	0		0
10	2	0	100.00	2
11	7	0	100.00	7
12	0	0		0
13	2	0	100.00	2
14	3	0	100.00	3
15	3	0	100.00	3
16	3	0	100.00	3
17	0	0		0
18	3	0	100.00	3
19	1	0	100.00	1
20	3	0	100.00	3
21	5	0	100.00	5
22	2	0	100.00	2
23	6	0	100.00	6
24	4	0	100.00	4
25	9	0	100.00	9
26	4	0	100.00	4
27	3	0	100.00	3
28	3	0	100.00	3
29	4	0	100.00	4
30	3	0	100.00	3
31	4	0	100.00	4
32	7	0	100.00	7
33	5	0	100.00	5
34	2	0	100.00	2
35	1	0	100.00	1
36	4	0	100.00	4
37	2	0	100.00	2

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	18	0	100.00	18
2	11	0	100.00	11
3	6	0	100.00	6
4	10	0	100.00	10
5	11	0	100.00	11
6	6	0	100.00	6
7	11	0	100.00	11
8	10	0	100.00	10
9	8	0	100.00	8
10	7	0	100.00	7
11	8	0	100.00	8
12	16	0	100.00	16
13	15	0	100.00	15
14	9	0	100.00	9
15	18	0	100.00	18
16	15	0	100.00	15
17	8	0	100.00	8
18	11	0	100.00	11
19	8	0	100.00	8
20	11	0	100.00	11
21	10	0	100.00	10
22	17	0	100.00	17
23	12	0	100.00	12
24	14	0	100.00	14
25	11	0	100.00	11
26	6	0	100.00	6
27	15	0	100.00	15
28	8	0	100.00	8
29	7	0	100.00	7
30	13	0	100.00	13
31	11	0	100.00	11
32	12	0	100.00	12
33	17	0	100.00	17
34	11	1	91.67	12
35	10	0	100.00	10
36	11	2	84.62	13
37	11	0	100.00	11

