Tag Length (Average tag length = 33.984043)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.005319
10	0.000000
11	0.000000
12	0.005319
13	0.010638
14	0.000000
15	0.015957
16	0.005319
17	0.005319
18	0.000000
19	0.000000
20	0.005319
21	0.021277
22	0.015957
23	0.005319
24	0.010638
25	0.005319
26	0.005319
27	0.000000
28	0.005319
29	0.031915
30	0.015957
31	0.015957
32	0.015957
33	0.010638
34	0.026596
35	0.053191
36	0.085106
37	0.622340
