RefseqId,GeneId,Chrom,TxStart,TxEnd,Strand,TotalReads,Rpkm
NM_001001565,Chpf,chr1,75474568,75479471,-,0,0
NM_001001566,Chpf,chr1,75474568,75479471,-,45,1.86332
NM_001001809,Olfr218,chr1,173203357,173204299,+,0,0
NM_001001880,Mpzl1,chr1,165592180,165634541,-,389,22.1351
NM_001001883,Hecw2,chr1,53806873,54195034,-,275,3.14952
NM_001001981,Utp14b,chr1,78657824,78667601,+,82,2.84128
NM_001003917,Atg9a,chr1,75180865,75191923,-,301,10.2384
NM_001003948,Pid1,chr1,84036292,84284645,-,207,9.93714
NM_001004173,Sgpp2,chr1,78310345,78420286,+,24,0.768568
NM_001005423,Mreg,chr1,72159232,72212307,-,0,0
NM_001005507,Smg7,chr1,152836994,152902646,-,522,11.5407
NM_001005508,Arhgap30,chr1,171388959,171410239,+,3,0.0856011
NM_001005520,Olfr231,chr1,174117090,174118014,-,0,0
NM_001008419,Aox3l1,chr1,58278325,58379264,+,16,0.428913
NM_001008426,Gm5531,chr1,153874344,153876871,+,0,0
NM_001008533,Adora1,chr1,134199221,134235427,-,1,0.022143
NM_001009940,Il19,chr1,130932655,130939241,-,0,0
NM_001011525,Olfr1415,chr1,92490817,92491753,-,0,0
NM_001011684,Nms,chr1,38939148,38950276,+,0,0
NM_001011873,Xkr9,chr1,13668770,13701723,+,0,0
NM_001011874,Xkr4,chr1,3214481,3671498,-,14,0.493239
NM_001012322,Sctr,chr1,120006979,120063532,+,0,0
NM_001012330,Zbtb18,chr1,177444660,177450764,+,114,3.80289
NM_001012623,Rims1,chr1,22288421,22432843,-,0,0
NM_001012623_dup1,Rims1,chr1,22468190,22805724,-,1,0.0682103
NM_001012624,Rims1,chr1,22468190,22805724,-,1,0.0682103
NM_001012625,Rims1,chr1,22468190,22805724,-,1,0.0682103
NM_001013025,Tgfbrap1,chr1,43047268,43098622,-,2719,62.8594
NM_001013374,Lman2l,chr1,36423185,36445239,-,62,3.5676
NM_001013382,Lrrc52,chr1,167445674,167466780,-,0,0
NM_001013750,Gm597,chr1,28776121,28780252,-,0,0
NM_001013771,Gm973,chr1,59516263,59634509,+,6,0.213681
NM_001013779,Aim2,chr1,173420603,173466036,+,0,0
NM_001013799,Mettl21c,chr1,44009407,44020006,-,0,0
NM_001013817,Sp140,chr1,85600702,85645036,+,26,1.37781
NM_001014974,Ttll4,chr1,74661753,74697973,+,120,3.61243
NM_001024720,Hmcn1,chr1,150562501,150993435,-,0,0
NM_001024721,BC094916,chr1,173521310,173535957,-,0,0
NM_001024945,Qsox1,chr1,155778154,155812899,-,76,2.89507
NM_001024952,Rc3h1,chr1,160906410,160974976,+,732,8.51135
NM_001025156,Ccdc93,chr1,121431066,121506460,+,107,1.88799
NM_001025305,Tfap2b,chr1,19212053,19238734,+,0,0
NM_001025378,Orc2,chr1,58462770,58501426,-,3,0.126763
NM_001025565,Lhx9,chr1,138825185,138842444,-,0,0
NM_001025570,Prrx1,chr1,163255276,163313650,-,0,0
NM_001025575,Cfhr2,chr1,139810291,139858699,-,1,0.0799193
NM_001025602,Il1rl1,chr1,40440627,40465414,+,0,0
NM_001029878,Lonrf2,chr1,38794508,38821215,-,7,0.176524
NM_001029977,Gm4788,chr1,139697918,139781239,-,0,0
NM_001029984,Fcrlb,chr1,170907272,170912941,-,0,0
NM_001033039,Klhdc9,chr1,171358448,171360798,-,2,0.16467
NM_001033041,Acmsd,chr1,127729412,127767564,+,0,0
NM_001033135,Rnf149,chr1,39551295,39577347,-,571,30.0351
NM_001033162,Shcbp1l,chr1,153425208,153452574,+,0,0
NM_001033185,1700084C01Rik,chr1,169928938,169934653,+,0,0
NM_001033194,Gtf3c3,chr1,54397580,54438971,-,221,9.4159
NM_001033250,Lemd1,chr1,132191435,132257382,+,0,0
NM_001033284,BC026585,chr1,157458581,157488733,+,8,0.794605
NM_001033285,Cdc42bpa,chr1,179961088,180165602,+,649,9.59934
NM_001033286,Slc30a10,chr1,185454847,185468761,+,0,0
NM_001033288,Sbspon,chr1,15853861,15892722,-,2077,96.7684
NM_001033289,Slc9a2,chr1,40681711,40768885,+,34,1.24622
NM_001033290,Gpr55,chr1,85939536,85961055,-,0,0
NM_001033291,Usp40,chr1,87945120,88008551,-,152,3.85436
NM_001033292,Espnl,chr1,91322074,91348303,+,0,0
NM_001033344,Dusp27,chr1,166098147,166127898,-,0,0
NM_001033345,Gm216,chr1,74362107,74369321,+,0,0
NM_001033373,Cdk15,chr1,59256906,59352369,+,0,0
NM_001033408,Rbm44,chr1,91145102,91170795,+,0,0
NM_001033409,Lgr6,chr1,134986352,135105276,-,0,0
NM_001033427,Lyg2,chr1,37905922,37916493,-,0,0
NM_001033449,Tmem237,chr1,59100592,59120096,-,43,2.94717
NM_001033450,Mnda,chr1,173896354,173912922,-,0,0
NM_001033499,Sh2d1b2,chr1,170232870,170251587,+,0,0
NM_001033547,4922505E12Rik,chr1,182747125,182749180,-,0,0
NM_001033606,Acsl3,chr1,78657824,78707743,+,173,5.81347
NM_001033636,Prex2,chr1,11263962,11303682,+,0,0
NM_001033764,4931408C20Rik,chr1,26681800,26687460,-,0,0
NM_001033819,9130409I23Rik,chr1,181051236,181060667,+,0,0
NM_001033904,Khdc1c,chr1,21368330,21369743,+,0,0
NM_001034060,Rufy4,chr1,74125540,74148223,+,0,0
NM_001034899,Gm16432,chr1,177991434,178048291,+,6,0.461927
NM_001037136,Agap1,chr1,89454810,89895282,+,281,3.81836
NM_001037170,Tomm40l,chr1,171217802,171222514,-,79,3.46384
NM_001037725,Fam117b,chr1,59913005,59985348,+,250,5.78382
NM_001037726,Creb1,chr1,64532803,64604548,+,0,0
NM_001037742,Tyw5,chr1,57388243,57406674,-,14,1.26853
NM_001037759,Sgk3,chr1,9848280,9902568,+,586,13.904
NM_001037812,Tmem237,chr1,59100596,59119806,-,3,0.210692
NM_001037909,C130026I21Rik,chr1,85246343,85270566,-,0,0
NM_001037918,Lipt1,chr1,37872205,37876298,+,10,0.823348
NM_001037999,Dbi,chr1,120113279,120120919,-,171,36.9195
NM_001038592,Glrx2,chr1,143739567,143749678,+,8,0.284276
NM_001038593,Glrx2,chr1,143739348,143749678,+,10,0.365176
NM_001038594,Glrx2,chr1,143740446,143749678,+,10,0.371642
NM_001038607,Kcnh1,chr1,192190871,192510158,+,18,0.326331
NM_001038619,Dnm3,chr1,161987301,162478030,-,2,0.0340552
NM_001038621,Rabgap1l,chr1,160219173,160351571,-,1597,32.2602
NM_001038846,Rcsd1,chr1,165648944,165708094,-,0,0
NM_001039045,Pigc,chr1,161969187,161973435,+,26,1.01241
NM_001039123,Defb18,chr1,18236472,18237443,-,0,0
NM_001039126,Asb1,chr1,91540564,91559590,+,126,2.7017
NM_001039169,Eif4e2,chr1,87213938,87228858,+,60,3.39904
NM_001039170,Eif4e2,chr1,87213913,87228858,+,118,8.35136
NM_001039184,Cep350,chr1,155844963,155973255,-,933,8.97667
NM_001039219,Gm6086,chr1,93990508,94011539,+,0,0
NM_001039472,Kif21b,chr1,136131400,136178014,+,33,0.46332
NM_001039475,Slco6b1,chr1,96906175,96997560,-,0,0
NM_001039482,Klhl20,chr1,161088377,161131479,-,83,2.63229
NM_001039483,Tmco1,chr1,167308669,167333978,+,210,6.00949
NM_001039484,Kcnj10,chr1,172341209,172374085,+,4,0.0947147
NM_001039493,Plekhm3,chr1,64789120,64956824,-,98,1.46543
NM_001039495,Ccdc108,chr1,74902079,74935599,-,0,0
NM_001039509,Pnkd,chr1,74285033,74353692,+,79,3.42166
NM_001039510,Adora1,chr1,134199221,134235431,-,0,0
NM_001039511,Ivns1abp,chr1,151344497,151356798,+,1639,75.1315
NM_001039512,Ivns1abp,chr1,151344497,151364445,+,0,0
NM_001039551,Cnnm3,chr1,36511875,36528237,+,0,0
NM_001039593,1700015E13Rik,chr1,170308860,170312125,+,0,0
NM_001039644,Edem3,chr1,151755373,151822328,+,297,5.75789
NM_001039710,Coq10b,chr1,55052769,55072702,+,58,4.28493
NM_001039934,Map2,chr1,66175328,66442583,+,0,0
NM_001040027,Gm15386,chr1,18260523,18265138,-,0,0
NM_001042485,Tmem183a,chr1,134346096,134361999,-,0,0
NM_001042577,Lhx9,chr1,138830943,138842444,-,0,0
NM_001042634,Clk1,chr1,58411987,58424088,-,716,50.0929
NM_001042659,Fzd5,chr1,64730557,64737750,-,233,4.38242
NM_001044751,Hsd11b1,chr1,193221640,193242360,-,0,0
NM_001045481,Ifi203,chr1,173920402,173942492,-,0,0
NM_001045513,Raph1,chr1,60483184,60566765,-,203,2.85074
NM_001045533,March4,chr1,72427111,72536564,-,0,0
NM_001077189,Fcgr2b,chr1,170960558,170976071,-,0,0
