bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
84	NR_153433	chr19	-	11775117	11819403	11819403	11819403	10	11775117,11777087,11782799,11785389,11785684,11786524,11788168,11789556,11803493,11818691,	11776588,11777170,11783136,11785524,11785758,11786633,11788236,11789631,11803577,11819403,	0	Stx3	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
614	NM_026316	chr19	-	3913490	3929778	3913893	3923900	10	3913490,3915293,3918041,3918602,3920796,3921182,3921472,3921696,3923738,3929695,	3914084,3915393,3918208,3918989,3920878,3921268,3921593,3921807,3923901,3929778,	0	Aldh3b1	cmpl	cmpl	1,0,1,1,0,1,0,0,0,-1,
615	NM_001302481	chr19	+	3986569	3990005	3987069	3989868	7	3986569,3987050,3987730,3988137,3988397,3988605,3989652,	3986611,3987305,3987923,3988231,3988505,3988715,3990005,	0	Acy3	cmpl	cmpl	-1,0,2,0,1,1,0,
615	NM_001302480	chr19	+	3986569	3990005	3987069	3989868	8	3986569,3986827,3987050,3987730,3988137,3988397,3988605,3989652,	3986611,3986951,3987305,3987923,3988231,3988505,3988715,3990005,	0	Acy3	cmpl	cmpl	-1,-1,0,2,0,1,1,0,
615	NM_001302479	chr19	+	3986569	3990005	3987069	3989868	8	3986569,3986822,3987050,3987730,3988137,3988397,3988605,3989652,	3986611,3986951,3987305,3987923,3988231,3988505,3988715,3990005,	0	Acy3	cmpl	cmpl	-1,-1,0,2,0,1,1,0,
637	NM_207220	chr19	-	6938056	6941193	6938369	6940839	7	6938056,6938755,6939011,6939260,6939528,6940351,6940482,	6938529,6938874,6939140,6939410,6939754,6940401,6941193,	0	Gpr137	cmpl	cmpl	2,0,0,0,2,0,0,
740	NM_010730	chr19	-	20373433	20390671	20373713	20384758	13	20373433,20375224,20376651,20377606,20378395,20379648,20380339,20382049,20382861,20383756,20384474,20384692,20390611,	20373770,20375347,20376710,20377702,20378489,20379705,20380419,20382140,20382975,20383851,20384583,20384772,20390671,	0	Anxa1	cmpl	cmpl	0,0,1,1,0,0,1,0,0,1,0,0,-1,
805	NM_198651	chr19	-	28923063	28964154	28927660	28963550	13	28923063,28927648,28928547,28938231,28939134,28941711,28944223,28945750,28948618,28954089,28959679,28963535,28963820,	28923702,28927750,28928632,28938419,28939169,28941814,28944454,28945831,28948743,28954131,28959728,28963673,28964154,	0	4430402I18Rik	cmpl	cmpl	-1,0,2,0,1,0,0,0,1,1,0,0,-1,
630	NM_198650	chr19	-	5970233	5986143	5970456	5986140	10	5970233,5971398,5971718,5972855,5980359,5981629,5982832,5984797,5985579,5985765,	5970553,5971605,5971827,5973070,5980475,5981753,5983001,5984952,5985683,5986143,	0	Slc22a20	cmpl	cmpl	2,2,1,2,0,2,1,2,0,0,
14	NM_001164360	chr19	-	44034942	44069785	44036926	44069384	12	44034942,44039172,44040746,44047634,44049121,44056121,44059050,44061842,44063018,44067599,44069271,44069690,	44037148,44039252,44040836,44047726,44049180,44056195,44059176,44061904,44063065,44067681,44069395,44069785,	0	Erlin1	cmpl	cmpl	0,1,1,2,0,1,1,2,0,2,0,-1,
