CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	0	0		0
2	0	0		0
3	0	0		0
4	0	0		0
5	0	0		0
6	0	0		0
7	0	0		0
8	0	0		0
9	0	0		0
10	0	0		0
11	0	0		0
12	0	0		0
13	0	0		0
14	0	0		0
15	1	0	100.00	1
16	0	0		0
17	0	0		0
18	1	0	100.00	1
19	0	0		0
20	0	0		0
21	0	0		0
22	0	0		0
23	1	0	100.00	1
24	0	0		0
25	0	0		0
26	0	0		0
27	0	0		0
28	0	0		0
29	0	0		0
30	0	0		0
31	0	0		0
32	0	0		0
33	0	0		0
34	1	0	100.00	1
35	0	0		0
36	0	0		0
37	1	0	100.00	1

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	1	0	100.00	1
2	0	0		0
3	1	0	100.00	1
4	0	0		0
5	0	0		0
6	0	0		0
7	0	0		0
8	0	0		0
9	0	0		0
10	0	0		0
11	1	0	100.00	1
12	0	0		0
13	0	0		0
14	0	0		0
15	1	0	100.00	1
16	0	0		0
17	0	0		0
18	1	0	100.00	1
19	0	0		0
20	0	0		0
21	1	0	100.00	1
22	0	0		0
23	0	0		0
24	1	0	100.00	1
25	2	0	100.00	2
26	0	0		0
27	0	0		0
28	1	0	100.00	1
29	0	0		0
30	1	0	100.00	1
31	0	0		0
32	1	0	100.00	1
33	0	0		0
34	1	0	100.00	1
35	0	0		0
36	0	0		0
37	0	0		0

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	0	0		0
2	1	0	100.00	1
3	1	0	100.00	1
4	2	0	100.00	2
5	3	0	100.00	3
6	0	0		0
7	0	0		0
8	1	0	100.00	1
9	1	0	100.00	1
10	1	0	100.00	1
11	1	0	100.00	1
12	5	0	100.00	5
13	1	0	100.00	1
14	1	0	100.00	1
15	1	0	100.00	1
16	2	0	100.00	2
17	0	0		0
18	0	0		0
19	1	0	100.00	1
20	1	0	100.00	1
21	1	0	100.00	1
22	1	0	100.00	1
23	0	0		0
24	1	0	100.00	1
25	1	0	100.00	1
26	2	0	100.00	2
27	1	0	100.00	1
28	1	0	100.00	1
29	1	0	100.00	1
30	1	0	100.00	1
31	0	0		0
32	0	0		0
33	3	0	100.00	3
34	2	0	100.00	2
35	2	0	100.00	2
36	1	0	100.00	1
37	1	0	100.00	1

CpG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	2	0	100.00	2
2	0	0		0
3	0	0		0
4	0	0		0
5	0	0		0
6	1	0	100.00	1
7	0	0		0
8	0	0		0
9	0	0		0
10	0	0		0
11	0	0		0
12	1	0	100.00	1
13	0	0		0
14	0	0		0
15	0	0		0
16	0	0		0
17	0	0		0
18	0	0		0
19	0	0		0
20	0	0		0
21	0	0		0
22	0	0		0
23	1	0	100.00	1
24	0	0		0
25	1	0	100.00	1
26	0	0		0
27	0	0		0
28	0	0		0
29	1	0	100.00	1
30	0	0		0
31	0	0		0
32	0	0		0
33	0	0		0
34	0	0		0
35	0	0		0
36	0	0		0
37	1	0	100.00	1

CHG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	1	0	100.00	1
2	0	0		0
3	1	0	100.00	1
4	0	0		0
5	0	0		0
6	0	0		0
7	0	0		0
8	1	0	100.00	1
9	0	0		0
10	0	0		0
11	1	0	100.00	1
12	0	0		0
13	0	0		0
14	0	0		0
15	0	0		0
16	1	0	100.00	1
17	1	0	100.00	1
18	0	0		0
19	0	0		0
20	2	0	100.00	2
21	0	0		0
22	0	0		0
23	0	0		0
24	0	0		0
25	1	0	100.00	1
26	0	0		0
27	0	0		0
28	1	0	100.00	1
29	1	0	100.00	1
30	0	0		0
31	0	0		0
32	0	0		0
33	0	0		0
34	0	0		0
35	1	0	100.00	1
36	0	0		0
37	1	0	100.00	1

CHH context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	3	0	100.00	3
2	3	0	100.00	3
3	1	0	100.00	1
4	0	0		0
5	2	0	100.00	2
6	0	0		0
7	1	0	100.00	1
8	3	0	100.00	3
9	1	0	100.00	1
10	1	0	100.00	1
11	1	0	100.00	1
12	0	0		0
13	1	0	100.00	1
14	2	0	100.00	2
15	0	0		0
16	1	0	100.00	1
17	1	0	100.00	1
18	2	0	100.00	2
19	2	0	100.00	2
20	2	0	100.00	2
21	1	0	100.00	1
22	0	0		0
23	1	0	100.00	1
24	0	0		0
25	4	0	100.00	4
26	3	0	100.00	3
27	1	0	100.00	1
28	4	0	100.00	4
29	2	0	100.00	2
30	0	0		0
31	1	0	100.00	1
32	1	0	100.00	1
33	1	0	100.00	1
34	2	0	100.00	2
35	1	0	100.00	1
36	0	0		0
37	0	0		0

