RefseqId,GeneId,Chrom,TxStart,TxEnd,Strand,TotalReads,Rpkm
NM_001272149 NM_166796 NM_166797 NM_166798,4E-T,chr4,972167,978796,-,0,0
NM_001272152 NM_001297790 NM_166808,ATPsynbeta,chr4,1052109,1055183,+,16,45987.2
NM_143685,Actbeta,chr4,1097956,1105422,-,0,0
NM_001169348 NM_175926 NM_175927 NM_175928,Ank,chr4,135699,150475,-,17,17727
NM_001272158 NM_079892,Arf102F,chr4,1144792,1145739,+,0,0
NM_001258479 NM_001272118 NM_143648,Arl4,chr4,197973,200015,-,0,0
NM_001272125 NM_001272126 NM_001272127 NM_001272128 NM_001272129 NM_001297785 NM_143667 NM_166765 NM_166766,Asator,chr4,493520,502596,-,0,0
NM_001258500 NM_143686 NM_166807,CG11076,chr4,1050336,1052383,-,0,0
NM_143687,CG11077,chr4,1049300,1049987,-,0,0
NM_143684 NM_166824 NM_166825,CG11155,chr4,1147227,1156540,+,0,0
NM_001272139 NM_001272140 NM_001272141 NM_143677,CG11360,chr4,691767,711276,+,1,957.026
NM_001169350 NM_001169351 NM_001169352 NM_001258484 NM_001258485 NM_001272120 NM_143656 NM_166746 NM_166747 NM_205866,CG1674,chr4,252475,266529,+,0,0
NM_143671 NM_166773,CG1909,chr4,603733,609974,+,0,0
NM_001258480 NM_143649 NM_166736 NM_166737 NM_166738 NM_166740,CG2316,chr4,204850,210213,-,0,0
NM_001297780 NM_166735,CG31997,chr4,175279,176686,-,0,0
NM_001258481 NM_166742,CG31998,chr4,217300,226571,-,3,3281.4
NM_001297783 NM_166745,CG31999,chr4,235634,248374,-,0,0
NM_001103379 NM_001272114 NM_166728 NM_166729 NM_166730 NM_166731 NM_166732 NM_166733 NM_205865,CG32000,chr4,152845,163749,+,5,7011
NM_166734,CG32006,chr4,171389,174164,+,0,0
NM_001169364 NM_001297794 NM_166826,CG32017,chr4,1158455,1167155,-,0,0
NM_001272124 NM_166753,CG32850,chr4,335548,352013,+,0,0
NM_001014702 NM_001014703 NM_001014705 NM_001258506,CG33521,chr4,1206740,1213611,+,0,0
NM_001347760,CG33941,chr4,488122,492102,+,0,0
NM_001038712 NM_001258478 NM_001272115 NM_001272116 NM_001272117,CG33978,chr4,187170,195766,-,0,0
NR_047711,CR43425,chr4,888449,892052,+,1,1507.7
NR_047708,CR43437,chr4,446692,447227,+,0,0
NR_073614,CR43956,chr4,153299,153500,-,0,0
NR_073611 NR_073612,CR43957,chr4,77122,83750,+,0,0
NR_073619,CR43958,chr4,577650,578480,-,1,7139.8
NR_073615,CR44023,chr4,297148,298800,+,0,0
NR_073617,CR44024,chr4,447956,452395,+,0,0
NR_073616,CR44027,chr4,416021,416580,+,0,0
NR_073620 NR_123750,CR44029,chr4,902096,904022,+,0,0
NR_073621 NR_073622 NR_123752,CR44030,chr4,980300,983318,+,0,0
NR_073624 NR_073625,CR44031,chr4,1048488,1049985,+,0,0
NR_123742,CR44440,chr4,65399,66700,+,0,0
NR_123744,CR44441,chr4,215357,216526,+,0,0
NR_123749,CR45123,chr4,871799,872250,+,0,0
NR_123741,CR45124,chr4,63399,64000,+,0,0
NR_123745,CR45125,chr4,401349,401901,+,0,0
NR_123746,CR45126,chr4,480393,482039,+,0,0
NR_123743,CR45198,chr4,196080,196500,+,0,0
NR_123747,CR45199,chr4,618249,618900,-,0,0
NR_123748,CR45200,chr4,797100,797772,-,0,0
NR_123751,CR45201,chr4,979849,980060,-,0,0
NR_133502,CR46065,chr4,249201,249738,-,0,0
NM_079883 NM_166759 NM_166760 NM_166761 NM_166764,CaMKI,chr4,466129,474573,+,0,0
NM_001014696 NM_001169360 NM_001169361 NM_001169362 NM_001272153 NM_001272154 NM_001272155 NM_079896 NM_166810 NM_166811 NM_166812 NM_166813,CaMKII,chr4,1055913,1074329,-,3,6730.26
NM_001031858 NM_001031859 NM_001031860 NM_001258510 NM_001258511,Cadps,chr4,1234562,1275485,+,0,0
NM_001272157 NM_001297793 NM_079893 NM_166823,Cals,chr4,1135880,1143983,-,0,0
NM_001258482 NM_001258483 NM_001297781 NM_001297782 NM_143651 NM_166743 NM_166744,Crk,chr4,230849,233791,+,0,0
NM_001038721 NM_001038723 NM_001038725,Dyrk3,chr4,1229462,1234439,-,0,0
NM_001042785 NM_001042786 NM_143674,Ekar,chr4,656756,667182,-,0,0
NM_001169353 NM_079886 NM_166774 NM_166775 NM_166776 NM_166777,Eph,chr4,631309,641360,+,0,0
NM_143670 NM_166770 NM_166771,Ephrin,chr4,592380,598769,+,0,0
NM_143673 NM_166779,Gat,chr4,650316,655976,+,0,0
NM_001169356 NM_001169357 NM_143693 NM_205878,Gyf,chr4,876025,887651,-,0,0
NM_001258491 NM_079882 NM_166756 NM_166757 NM_205873,Hcf,chr4,380563,393410,+,0,0
NM_143682,Kif3C,chr4,1168091,1189865,+,0,0
NM_143679 NM_166791,MED26,chr4,799141,808240,-,2,2149.51
NM_001038718 NM_001038719 NM_001258507 NM_001258508,Mitf,chr4,1219483,1227176,+,2,2694.6
NM_001272135 NM_143669,ND-49,chr4,588921,592180,-,0,0
NM_001272122 NM_205870,NfI,chr4,288800,296995,-,0,0
NM_001038716 NM_001038717,PIP4K,chr4,1213044,1217474,-,0,0
NM_001014687 NM_001014688 NM_001014689 NM_001038714 NM_001201585 NM_001201586 NM_001201587 NM_001201588 NM_001201589 NM_166754 NM_166755,PMCA,chr4,355295,379283,-,10,8956.3
NM_001258499 NM_079898 NM_166804 NM_166805,PlexA,chr4,1030520,1047727,-,2,1551.54
NM_001258471 NM_079877,PlexB,chr4,53103,64404,-,0,0
NM_001272132 NM_001272133 NM_001272134 NM_079885 NM_166767 NM_166768 NM_166769,Pur-alpha,chr4,580289,587883,+,0,0
NM_001272123 NM_143661 NM_166752,Rad23,chr4,328718,331448,+,0,0
NM_001038713 NM_001258487 NM_001272121 NM_143657,RhoGAP102A,chr4,275622,283145,+,0,0
NM_001258475 NM_079879 NM_166714,RpS3A,chr4,85850,87833,-,45,257328
NM_001272137 NM_001272138 NM_143676,Slip1,chr4,684246,690510,+,0,0
NM_001014695 NM_001272144 NM_001272145 NM_166792,Sox102F,chr4,821061,855019,-,0,0
NM_001258488 NM_166748 NM_166749 NM_166751 NM_205871,Syt7,chr4,299310,326787,-,0,0
NM_001272131 NM_001297786 NM_143668,Thd1,chr4,561185,578480,-,0,0
NM_001144383 NM_001297784 NM_143662 NM_205872,Zip102B,chr4,331555,334713,-,0,0
NM_001258501 NM_143758 NM_166815 NM_166816 NM_166819,Zyx,chr4,1077990,1085627,-,0,0
NM_001272156 NM_001297791 NM_001297792 NM_079895,apolpp,chr4,1085531,1097899,+,0,0
NM_143666,bip2,chr4,480512,487454,-,4,4713.47
NM_001169354 NM_001272142 NM_001272143 NM_001297787 NM_205876,bt,chr4,745025,796707,+,0,0
NM_001258472 NM_001258473 NM_079878,ci,chr4,68335,76957,-,0,0
NM_001258492 NM_001258493 NM_166758 NM_205874,dati,chr4,396265,416231,-,0,0
NM_001103380 NM_001103381,dpr7,chr4,267749,273955,-,0,0
NM_001103382 NM_001144385 NM_079901,eIF4G,chr4,935922,951341,-,6,5610.25
NM_001014693 NM_001014694 NM_079889 NM_166789,ey,chr4,725276,741799,+,0,0
NM_143694,fd102C,chr4,857611,865155,-,0,0
NM_001169358 NM_001169359 NM_001272150,fuss,chr4,982966,999115,-,0,0
NM_001014691 NM_166780 NM_166781 NM_166783 NM_166784 NM_166785,gw,chr4,670596,681234,-,1,1111.4
NM_143665,lgs,chr4,457582,464537,-,2,1985.87
NM_001272147 NM_001272148 NM_001297789 NM_079900,mGluR,chr4,957444,970067,+,0,0
NM_079887,mav,chr4,643844,646657,-,0,0
NR_144673,mir-9385,chr4,421328,421391,-,0,0
NR_047709,mir-954,chr4,646751,646838,+,0,0
NM_166786 NM_166787 NM_166788,myo,chr4,711903,716681,-,2,3577.28
NM_001272136 NM_080103,onecut,chr4,619180,628275,-,0,0
NM_001014685 NM_001038709 NM_001258476 NM_001258477 NM_079880 NM_166718 NM_166720 NM_166723 NM_166724,pan,chr4,89951,130396,+,4,3918.99
NM_079891 NM_166827,pho,chr4,1193094,1202254,-,0,0
NR_073613,snoRNA:CD-24,chr4,86202,86271,-,0,0
NR_003113 NR_003114 NR_003115 NR_073623,sphinx,chr4,995793,997887,+,0,0
NM_001014697 NM_001014698 NM_001014699 NM_001014701 NM_001169363 NM_079894 NM_166822,sv,chr4,1109423,1133943,+,0,0
NM_001272151 NM_079899,toy,chr4,1010350,1028548,+,1,1374.46
NM_001258497 NM_001258498 NM_001272146 NM_001297788 NM_143692 NM_166793 NM_166794,unc-13,chr4,888449,924652,-,6,2471.34
NM_143655,yellow-h,chr4,248547,251054,+,0,0
NM_001258496 NM_001272130 NM_079884,zfh2,chr4,522435,561500,+,1,524.519
